State,Year,Policy,Category,Direction,Adoption_Year,adoption
Alabama,2021,1,Bathroom ban ,N,2022,0
Alaska,2021,0,,,2022,0
Arizona,2021,0,,,2022,0
Arkansas,2021,0,,,2022,0
California,2021,0,,,2022,0
Colorado,2021,0,,,2022,0
Connecticut,2021,0,,,2022,0
Delaware,2021,0,,,2022,0
Florida,2021,0,,,2022,0
Georgia,2021,0,,,2022,0
Hawaii,2021,0,,,2022,0
Idaho,2021,0,,,2022,0
Illinios,2021,0,,,2022,0
Indiana,2021,0,,,2022,0
Iowa,2021,0,,,2022,0
Kansas,2021,0,,,2022,0
Kentucky,2021,0,,,2022,0
Louisiana,2021,0,,,2022,0
Maine,2021,0,,,2022,0
Maryland,2021,0,,,2022,0
Massachusetts,2021,0,,,2022,0
Michigan,2021,0,,,2022,0
Minnesota,2021,0,,,2022,0
Mississippi,2021,0,,,2022,0
Missouri,2021,0,,,2022,0
Montana,2021,0,,,2022,0
Nebraska,2021,0,,,2022,0
Nevada,2021,0,,,2022,0
New Hampshire,2021,0,,,2022,0
New Jersey,2021,0,,,2022,0
New Mexico,2021,0,,,2022,0
New York,2021,0,,,2022,0
North Carolina,2021,0,,,2022,0
North Dakota,2021,0,,,2022,0
Ohio,2021,0,,,2022,0
Oklahoma,2021,1,Bathroom ban ,N,2022,0
Oregon,2021,0,,,2022,0
Pennsylvania,2021,0,,,2022,0
Rhode Island,2021,0,,,2022,0
South Carolina,2021,0,,,2022,0
South Dakota ,2021,0,,,2022,0
Tennessee,2021,1,Bathroom ban ,N,2021,1
Texas,2021,0,,,2022,0
Utah,2021,0,,,2022,0
Vermont,2021,0,,,2022,0
Virginia,2021,0,,,2022,0
Washington,2021,0,,,2022,0
West Virginia,2021,0,,,2022,0
Wisconsin,2021,0,,,2022,0
Wyoming,2021,0,,,2022,0
Alabama,2022,1,Bathroom ban ,N,2022,1
Alaska,2022,0,,,2022,0
Arizona,2022,0,,,2022,0
Arkansas,2022,0,,,2022,0
California,2022,0,,,2022,0
Colorado,2022,0,,,2022,0
Connecticut,2022,0,,,2022,0
Delaware,2022,0,,,2022,0
Florida,2022,0,,,2022,0
Georgia,2022,0,,,2022,0
Hawaii,2022,0,,,2022,0
Idaho,2022,0,,,2022,0
Illinios,2022,0,,,2022,0
Indiana,2022,0,,,2022,0
Iowa,2022,0,,,2022,0
Kansas,2022,0,,,2022,0
Kentucky,2022,0,,,2022,0
Louisiana,2022,0,,,2022,0
Maine,2022,0,,,2022,0
Maryland,2022,0,,,2022,0
Massachusetts,2022,0,,,2022,0
Michigan,2022,0,,,2022,0
Minnesota,2022,0,,,2022,0
Mississippi,2022,0,,,2022,0
Missouri,2022,0,,,2022,0
Montana,2022,0,,,2022,0
Nebraska,2022,0,,,2022,0
Nevada,2022,0,,,2022,0
New Hampshire,2022,0,,,2022,0
New Jersey,2022,0,,,2022,0
New Mexico,2022,0,,,2022,0
New York,2022,0,,,2022,0
North Carolina,2022,0,,,2022,0
North Dakota,2022,0,,,2022,0
Ohio,2022,0,,,2022,0
Oklahoma,2022,1,Bathroom ban ,N,2022,1
Oregon,2022,0,,,2022,0
Pennsylvania,2022,0,,,2022,0
Rhode Island,2022,0,,,2022,0
South Carolina,2022,0,,,2022,0
South Dakota ,2022,0,,,2022,0
Texas,2022,0,,,2022,0
Utah,2022,0,,,2022,0
Vermont,2022,0,,,2022,0
Virginia,2022,0,,,2022,0
Washington,2022,0,,,2022,0
West Virginia,2022,0,,,2022,0
Wisconsin,2022,0,,,2022,0
Wyoming,2022,0,,,2022,0
